"('DE', 'result_year')","('DE', 'result_mean')","('DE', 'result_max')","('Current', 'results')","('ROI', 'Mean')","('ROI', 'results')","('Revenue', '10Y CAGR')","('Revenue', '5Y CAGR')","('Revenue', '3Y CAGR')","('Revenue', '1Y CAGR')","('EPS', '10Y CAGR')","('EPS', '5Y CAGR')","('EPS', '3Y CAGR')","('EPS', '1Y CAGR')","('BVPS', '10Y CAGR')","('BVPS', '5Y CAGR')","('BVPS', '3Y CAGR')","('BVPS', '1Y CAGR')","('FCF', '10Y CAGR')","('FCF', '5Y CAGR')","('FCF', '3Y CAGR')","('FCF', '1Y CAGR')",0
True,True,True,Last 2Y OK,22.02046511627907,True,0.2828290552386252,0.2963712926333472,0.3166332595691343,0.2761808281625935,0.308817827825756,0.4612067590069342,1.12566031891993,0.5410447761194028,0.4631966151917777,0.1652046959940252,0.2491677872810962,0.4936143039591316,,1.2602073247620609,0.2568706910194211,0.1001706119960903,470.6535115265982
True,True,True,Last 2Y OK,13.553953488372096,True,0.2760395447459118,0.2581345711013716,0.2729846823386064,0.2045412582067698,0.2741737248893283,,0.6745836484850347,0.1425024826216485,0.2774324536208192,0.2005903392386394,0.2637255217634062,0.4443763139453398,0.2435571471156683,0.676662681993456,0.3513044281587882,0.3311855670103092,3116.362253808036
True,True,True,Last 5Y OK,19.3953488372093,True,0.130867905321159,0.2318727893698502,0.3273349982293851,0.206094296891085,,0.5504449889846812,0.8310347685693229,0.3755186721991701,0.167078710827714,0.1125729135445534,0.1775448070377479,0.3288155568650561,,0.3903297034650463,0.420729098886883,0.0796976983854345,269.07634409353017
True,True,True,Last 5Y OK,66.80071428571429,True,0.5699940142607858,0.4149294060879471,0.3676179455174939,0.2661091013288441,0.5164255643907742,0.4235202764116248,0.2259192049685607,-0.1505944517833554,,0.1087017639593184,0.1099590226021087,0.2540983606557379,0.6750284150672226,0.3101553189696466,0.2222570276780904,0.3810794973631095,99.21170063998174
True,True,False,Last 5Y OK,19.60954545454545,True,0.0885874732327529,-0.0173063790829817,0.0100733864093591,0.0735040467029322,0.1421866619690153,-0.0504271275318987,-0.0196304261287509,-2.058997050147493,-0.0841929110358914,-0.1258426180340462,-0.2376893339933645,0.2517482517482516,0.0028640671494626,-0.0314270690825674,-0.0238748376317842,-0.4641812865497076,
True,True,True,Last 2Y OK,21.18093023255814,True,0.0789505883806218,0.0627496864257703,0.0875330062171868,0.0785938294626207,0.1283096679104753,0.1217741265362506,0.1572244815947325,0.1650211565585331,0.0533411654074522,0.0552400786645914,0.1083868412504327,0.1957686882933709,0.1474064850622918,0.1102016957659981,0.7349617570907809,0.1971479500891266,123.85735781431323
True,True,True,Last 5Y OK,78.92242424242423,True,0.1271882704627704,0.1232755984636726,0.1614415159604112,0.1292976588628762,0.2163547290790615,0.2069568995698496,0.2910152690111287,0.4178571428571429,0.0469511521333845,0.0047199074473638,-0.0076573593633452,0.1906693711967546,0.1966653067315837,0.1939249213042253,0.2055429689142502,0.3035495716034271,
True,True,True,Last 5Y OK,84.79976744186047,True,0.0643120372782279,0.0627640735477736,0.0748802368371879,0.054204376356939,0.1167315828152575,0.1024220112916276,0.0449753193709578,0.1608832807570979,0.1922691745180533,0.1042212821577279,0.1254327419005279,0.1832618025751073,0.0751217328962423,0.1371795891701392,0.1302358536187695,0.1147369394359685,115.91850284534232
True,True,True,Not good to invest,21.488837209302325,True,0.1076143795096873,0.1316545991096187,0.0942061724177323,0.0703125345308446,0.1602995345251201,0.2024700465816338,0.2549778516300842,0.1755537325676786,0.1190581407086619,0.0751777446102541,0.0800825037258641,0.176586325627152,0.1286722521891474,0.2022560610113279,0.2653999353272036,0.2008791208791209,115.03471253306073
True,True,True,Last 5Y OK,28.740465116279072,True,0.079727381505755,0.0770326063766659,0.113485187299551,0.1402953968829285,0.1206333688904048,0.1398270352404456,0.2549801322759666,1.375586854460094,0.1152374384981633,0.0533391416206825,0.0703463890664057,0.1742260619150466,0.0916555989080205,0.0720661129793971,0.1526724694701642,0.1862830212079871,34.72861000547981
True,True,True,Last 5Y OK,10.09139534883721,True,0.0546850645729755,0.0683867826429425,0.0199181318952978,0.0505601501554342,0.0887818987478559,0.0221383419545468,0.0352710099885242,0.0828877005347592,0.1025465860227128,0.0467907106578546,0.0793716778331505,0.1566421462570315,0.0739903814378877,0.002170936216399,0.0420439271021251,-0.0336449140733859,34.11005018585634
True,True,True,Last 3Y OK,15.99720930232558,True,0.1425781929405292,0.2191905935603864,0.2403562649230266,0.2370985603543742,0.2344765343577637,0.6247070917972446,0.3726329560973354,0.1538461538461537,0.0942879506781153,0.0592624361717932,0.0803415017938256,0.1553030303030302,0.149687912065046,0.2873222052644177,0.2636438723670722,0.0703212826857095,51.61232084033078
True,True,True,Last 5Y OK,16.413023255813957,True,0.0369287499080115,0.0194327111242078,0.0176701033944923,0.0521792012973849,0.0953303483016483,0.1186412959731439,0.0734603738517174,129.5,0.0134588682599521,-0.0267699861840274,-0.0757479500538111,0.1329113924050631,0.0532870399374694,0.0576994467062166,0.0623269325144282,0.1592583973314716,
True,True,True,Last 5Y OK,22.422,True,,0.1723526047616701,0.1790773604888433,0.150216814445667,,0.43515327266866,0.2164403991146799,0.2105263157894736,,0.0386529547367653,0.0424935322469535,0.126068376068376,,0.1752308294765749,0.1588971813750286,-0.169204374865966,6.592929974829207
True,True,True,Last 5Y OK,19.90578947368421,True,0.2120713835142911,0.1965096184871546,0.2148597420820859,0.1830008989979461,0.1701960106547251,0.1903523029488192,0.2085433274515247,0.1249427917620136,,0.0639472394123692,0.0679944317751921,0.1133278996420852,0.1379531627788346,0.207503462806939,0.0591953395524846,0.3565171688857744,319.0264558305778
True,True,True,Last 5Y OK,20.860697674418603,True,0.0285979678893835,0.0199790437214104,0.0450873208832418,0.0058592074134908,0.0249568253799932,-0.0024682952750196,-0.0171560533948206,0.0035650623885916,0.0162212510925634,-0.0054284625945011,-0.0232724531537258,0.1066425666516042,0.0490628782826174,0.03386335594482,0.113143612616583,0.0666697340572375,
True,False,False,Not good to invest,16.618372093023257,True,0.0203492345438254,0.0074259328838626,0.0153425934336617,0.0076797872584306,0.1045679829619083,0.1395346027903701,0.1314863180537331,0.2367021276595746,-0.0602692787605445,0.1624165451637103,0.1819814295213959,0.1028806584362138,0.0206301574486105,0.0578846073012084,0.5667628160429192,0.0071262937616649,139.26438481251455
